[2025-08-20 12:45:07] Missing/Bad CSRF on /kraken-antibot/protection/admin/dashboard.php from 127.0.0.1 UA:Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:141.0) Gecko/20100101 Firefox/141.0
[2025-08-20 12:49:10] Missing/Bad CSRF on /kraken-antibot/protection/admin/dashboard.php from 127.0.0.1 UA:Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:141.0) Gecko/20100101 Firefox/141.0
[2025-08-20 12:49:13] Missing/Bad CSRF on /kraken-antibot/protection/admin/dashboard.php from 127.0.0.1 UA:Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:141.0) Gecko/20100101 Firefox/141.0
[2025-08-20 12:49:23] Missing/Bad CSRF on /kraken-antibot/protection/admin/dashboard.php from 127.0.0.1 UA:Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:141.0) Gecko/20100101 Firefox/141.0
[2025-08-20 12:49:49] Missing/Bad CSRF on /kraken-antibot/protection/admin/save_setting.php from 127.0.0.1 UA:Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:141.0) Gecko/20100101 Firefox/141.0
[2025-08-20 12:50:28] Missing/Bad CSRF on /kraken-antibot/protection/admin/save_countries.php from 127.0.0.1 UA:Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:141.0) Gecko/20100101 Firefox/141.0
[2025-08-20 12:50:31] Missing/Bad CSRF on /kraken-antibot/protection/admin/save_countries.php from 127.0.0.1 UA:Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:141.0) Gecko/20100101 Firefox/141.0
[2025-08-20 12:50:32] Missing/Bad CSRF on /kraken-antibot/protection/admin/save_countries.php from 127.0.0.1 UA:Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:141.0) Gecko/20100101 Firefox/141.0
[2025-08-20 12:50:33] Missing/Bad CSRF on /kraken-antibot/protection/admin/save_countries.php from 127.0.0.1 UA:Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:141.0) Gecko/20100101 Firefox/141.0
[2025-08-20 12:50:34] Missing/Bad CSRF on /kraken-antibot/protection/admin/save_countries.php from 127.0.0.1 UA:Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:141.0) Gecko/20100101 Firefox/141.0
[2025-08-20 23:41:49] Missing/Bad CSRF on /kraken-antibot/protection/admin/save_countries.php from 127.0.0.1 UA:Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:141.0) Gecko/20100101 Firefox/141.0
[2025-08-20 23:41:53] Missing/Bad CSRF on /kraken-antibot/protection/admin/save_countries.php from 127.0.0.1 UA:Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:141.0) Gecko/20100101 Firefox/141.0
[2025-08-20 23:41:54] Missing/Bad CSRF on /kraken-antibot/protection/admin/save_countries.php from 127.0.0.1 UA:Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:141.0) Gecko/20100101 Firefox/141.0
[2025-08-20 23:41:55] Missing/Bad CSRF on /kraken-antibot/protection/admin/save_countries.php from 127.0.0.1 UA:Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:141.0) Gecko/20100101 Firefox/141.0
[2025-08-20 23:41:58] Missing/Bad CSRF on /kraken-antibot/protection/admin/dashboard.php from 127.0.0.1 UA:Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:141.0) Gecko/20100101 Firefox/141.0
[2025-08-20 23:42:11] Missing/Bad CSRF on /kraken-antibot/protection/admin/dashboard.php from 127.0.0.1 UA:Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:141.0) Gecko/20100101 Firefox/141.0
[2025-08-20 23:43:22] Missing/Bad CSRF on /kraken-antibot/protection/admin/dashboard.php from 127.0.0.1 UA:Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:141.0) Gecko/20100101 Firefox/141.0
[2025-08-20 23:43:24] Missing/Bad CSRF on /kraken-antibot/protection/admin/clear_data.php from 127.0.0.1 UA:Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:141.0) Gecko/20100101 Firefox/141.0
[2025-08-20 23:43:24] Missing/Bad CSRF on /kraken-antibot/protection/admin/clear_data.php from 127.0.0.1 UA:Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:141.0) Gecko/20100101 Firefox/141.0
[2025-08-20 23:54:36] Missing/Bad CSRF on /kraken-antibot/protection/admin/dashboard.php from 127.0.0.1 UA:Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:141.0) Gecko/20100101 Firefox/141.0
[2025-08-20 23:58:30] Missing/Bad CSRF on /kraken-antibot/protection/admin/dashboard.php from 127.0.0.1 UA:Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:141.0) Gecko/20100101 Firefox/141.0
[2025-08-20 23:58:31] Missing/Bad CSRF on /kraken-antibot/protection/admin/clear_data.php from 127.0.0.1 UA:Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:141.0) Gecko/20100101 Firefox/141.0
[2025-08-20 23:58:32] Missing/Bad CSRF on /kraken-antibot/protection/admin/clear_data.php from 127.0.0.1 UA:Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:141.0) Gecko/20100101 Firefox/141.0
[2025-08-20 23:58:34] Missing/Bad CSRF on /kraken-antibot/protection/admin/clear_data.php from 127.0.0.1 UA:Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:141.0) Gecko/20100101 Firefox/141.0
[2025-08-21 00:16:43] Missing/Bad CSRF on /kraken-antibot/protection/admin/dashboard.php from 127.0.0.1 UA:Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:141.0) Gecko/20100101 Firefox/141.0
[2025-08-21 00:18:39] Missing/Bad CSRF on /kraken-antibot/protection/admin/dashboard.php from 127.0.0.1 UA:Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:141.0) Gecko/20100101 Firefox/141.0
[2025-08-21 00:18:43] Missing/Bad CSRF on /kraken-antibot/protection/admin/save_countries.php from 127.0.0.1 UA:Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:141.0) Gecko/20100101 Firefox/141.0
[2025-08-21 00:18:44] Missing/Bad CSRF on /kraken-antibot/protection/admin/save_countries.php from 127.0.0.1 UA:Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:141.0) Gecko/20100101 Firefox/141.0
[2025-08-21 00:18:47] Missing/Bad CSRF on /kraken-antibot/protection/admin/save_countries.php from 127.0.0.1 UA:Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:141.0) Gecko/20100101 Firefox/141.0
[2025-08-21 00:18:48] Missing/Bad CSRF on /kraken-antibot/protection/admin/save_countries.php from 127.0.0.1 UA:Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:141.0) Gecko/20100101 Firefox/141.0
[2025-08-21 00:34:55] Missing/Bad CSRF on /kraken-antibot/protection/admin/dashboard.php from 127.0.0.1 UA:Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:141.0) Gecko/20100101 Firefox/141.0
[2025-08-21 00:36:39] Missing/Bad CSRF on /kraken-antibot/protection/admin/save_countries.php from 127.0.0.1 UA:Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:141.0) Gecko/20100101 Firefox/141.0
[2025-08-21 00:36:41] Missing/Bad CSRF on /kraken-antibot/protection/admin/save_countries.php from 127.0.0.1 UA:Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:141.0) Gecko/20100101 Firefox/141.0
[2025-08-21 00:36:42] Missing/Bad CSRF on /kraken-antibot/protection/admin/save_countries.php from 127.0.0.1 UA:Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:141.0) Gecko/20100101 Firefox/141.0
[2025-08-21 00:36:43] Missing/Bad CSRF on /kraken-antibot/protection/admin/save_countries.php from 127.0.0.1 UA:Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:141.0) Gecko/20100101 Firefox/141.0
[2025-08-21 00:37:19] Missing/Bad CSRF on /kraken-antibot/protection/admin/dashboard.php from 127.0.0.1 UA:Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:141.0) Gecko/20100101 Firefox/141.0
[2025-08-21 00:37:24] Missing/Bad CSRF on /kraken-antibot/protection/admin/clear_data.php from 127.0.0.1 UA:Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:141.0) Gecko/20100101 Firefox/141.0
[2025-08-21 00:39:43] Missing/Bad CSRF on /kraken-antibot/protection/admin/dashboard.php from 127.0.0.1 UA:Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:141.0) Gecko/20100101 Firefox/141.0
[2025-08-21 00:39:44] Missing/Bad CSRF on /kraken-antibot/protection/admin/clear_data.php from 127.0.0.1 UA:Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:141.0) Gecko/20100101 Firefox/141.0
[2025-08-21 00:39:45] Missing/Bad CSRF on /kraken-antibot/protection/admin/clear_data.php from 127.0.0.1 UA:Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:141.0) Gecko/20100101 Firefox/141.0
[2025-08-21 00:47:47] Missing/Bad CSRF on /kraken-antibot/protection/admin/dashboard.php from 127.0.0.1 UA:Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:141.0) Gecko/20100101 Firefox/141.0
[2025-08-21 00:49:54] Missing/Bad CSRF on /kraken-antibot/protection/admin/dashboard.php from 127.0.0.1 UA:Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:141.0) Gecko/20100101 Firefox/141.0
[2025-08-21 00:50:07] Missing/Bad CSRF on /kraken-antibot/protection/admin/clear_data.php from 127.0.0.1 UA:Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:141.0) Gecko/20100101 Firefox/141.0
